input_id	dealiased_id	standard_id	short_id
wikidata:Q99418649	wikidata:Q99418649	wikidata:Q99418649	pNGap1Du
wikidata:Q46368626	wikidata:Q46368626	wikidata:Q46368626	1GmbExweg
wikidata:Q100491106	wikidata:Q100491106	wikidata:Q100491106	tjdjR2Xf
wikidata:Q104450645	wikidata:Q104450645	wikidata:Q104450645	kkwRTArg
wikidata:Q56524391	wikidata:Q56524391	wikidata:Q56524391	1DSEIjFha
url:https://data.humancellatlas.org/about	url:https://data.humancellatlas.org/about	url:https://data.humancellatlas.org/about	zDRzmIGu
wikidata:Q87649649	wikidata:Q87649649	wikidata:Q87649649	paKiKTRS
doi:10.1242/dev.169854	doi:10.1242/dev.169854	doi:10.1242/dev.169854	sWv3okaH
doi:10.1242/dev.178996	doi:10.1242/dev.178996	doi:10.1242/dev.178996	19yYJWEkz
wikidata:Q47565008	wikidata:Q47565008	wikidata:Q47565008	BlxFp1v3
wikidata:Q99418657	wikidata:Q99418657	wikidata:Q99418657	eOUB1Bmj
wikidata:Q98665291	wikidata:Q98665291	wikidata:Q98665291	TupzTvtA
wikidata:Q93086971	wikidata:Q93086971	wikidata:Q93086971	w0Woz7JE
wikidata:Q26770736	wikidata:Q26770736	wikidata:Q26770736	srfuRMe
wikidata:Q35688096	wikidata:Q35688096	wikidata:Q35688096	1GXQByEaQ
wikidata:Q98633613	wikidata:Q98633613	wikidata:Q98633613	k0Pe9YOB
wikidata:Q40436539	wikidata:Q40436539	wikidata:Q40436539	MoaYZAA0
wikidata:Q108723646	wikidata:Q108723646	wikidata:Q108723646	WAeCfntu
wikidata:Q24643881	wikidata:Q24643881	wikidata:Q24643881	SprCx2w6
url:https://en.wikipedia.org/w/index.php?title	url:https://en.wikipedia.org/w/index.php?title	url:https://en.wikipedia.org/w/index.php?title	uYuz0opI
wikidata:Q107373831	wikidata:Q107373831	wikidata:Q107373831	J5X2Xu6M
wikidata:Q34037445	wikidata:Q34037445	wikidata:Q34037445	xWhvkd3B
wikidata:Q103034964	wikidata:Q103034964	wikidata:Q103034964	HFiosSKK
pmid:18927580	pmid:18927580	pubmed:18927580	O95WN4x0
doi:10.1038/nrg.2016.127	doi:10.1038/nrg.2016.127	doi:10.1038/nrg.2016.127	ogAGO9KH
wikidata:Q37475461	wikidata:Q37475461	wikidata:Q37475461	14J9lsoMd
wikidata:Q91908361	wikidata:Q91908361	wikidata:Q91908361	OjxQDZpx
wikidata:Q90361677	wikidata:Q90361677	wikidata:Q90361677	19g5Iusf9
wikidata:Q91316993	wikidata:Q91316993	wikidata:Q91316993	4TJnL1xT
doi:10.1080/10635150701701083	doi:10.1080/10635150701701083	doi:10.1080/10635150701701083	g74dZjOM
wikidata:Q21184168	wikidata:Q21184168	wikidata:Q21184168	1CI8uS6ka
doi:10.1186/1471-2105-12-6	doi:10.1186/1471-2105-12-6	doi:10.1186/1471-2105-12-6	gAysgnsS
doi:10.1186/s13326-016-0088-7	doi:10.1186/s13326-016-0088-7	doi:10.1186/s13326-016-0088-7	17U3pGEjv
wikidata:Q21284308	wikidata:Q21284308	wikidata:Q21284308	RLHsA1U8
doi:10.1186/s12859-017-1976-2	doi:10.1186/s12859-017-1976-2	doi:10.1186/s12859-017-1976-2	jX2ZmXcc
doi:10.1186/s12859-019-2721-9	doi:10.1186/s12859-019-2721-9	doi:10.1186/s12859-019-2721-9	rK8KD0us
wikidata:Q109717199	wikidata:Q109717199	wikidata:Q109717199	16phbXNJE
wikidata:Q64974172	wikidata:Q64974172	wikidata:Q64974172	WKbly37M
wikidata:Q107158224	wikidata:Q107158224	wikidata:Q107158224	ii1dVqoy
wikidata:Q30975629	wikidata:Q30975629	wikidata:Q30975629	pEJYKNFc
wikidata:Q29305711	wikidata:Q29305711	wikidata:Q29305711	JpCsfe9G
wikidata:Q63664483	wikidata:Q63664483	wikidata:Q63664483	1GezH4XNn
wikidata:Q56984510	wikidata:Q56984510	wikidata:Q56984510	chGii6yw
wikidata:Q33037209	wikidata:Q33037209	wikidata:Q33037209	tvnuubVW
wikidata:Q36067763	wikidata:Q36067763	wikidata:Q36067763	agnqfdk6
wikidata:Q52625486	wikidata:Q52625486	wikidata:Q52625486	SozKx0lF
wikidata:Q49192555	wikidata:Q49192555	wikidata:Q49192555	15xnotFsw
wikidata:Q109755180	wikidata:Q109755180	wikidata:Q109755180	qT8WxqjA
wikidata:Q104450593	wikidata:Q104450593	wikidata:Q104450593	P1gDLuog
wikidata:Q108929315	wikidata:Q108929315	wikidata:Q108929315	sW6aNZJB
wikidata:Q101074371	wikidata:Q101074371	wikidata:Q101074371	15YmDXALp
url:https://tabula-muris.ds.czbiohub.org	url:https://tabula-muris.ds.czbiohub.org	url:https://tabula-muris.ds.czbiohub.org	tdlWsvTd
url:https://tabula-sapiens-portal.ds.czbiohub.org/celltypes	url:https://tabula-sapiens-portal.ds.czbiohub.org/celltypes	url:https://tabula-sapiens-portal.ds.czbiohub.org/celltypes	FjUqVIOp
url:https://azimuth.hubmapconsortium.org	url:https://azimuth.hubmapconsortium.org	url:https://azimuth.hubmapconsortium.org	T7RxnUNw
wikidata:Q109755184	wikidata:Q109755184	wikidata:Q109755184	1FghWzORJ
url:http://celltype.info	url:http://celltype.info	url:http://celltype.info	yMavNVkS
wikidata:Q107363182	wikidata:Q107363182	wikidata:Q107363182	123DiCgc8
wikidata:Q34978215	wikidata:Q34978215	wikidata:Q34978215	UduMr7x2
wikidata:Q33786317	wikidata:Q33786317	wikidata:Q33786317	ecteO8vI
url:https://www.nature.com/articles/d41586-020-03564-y	url:https://www.nature.com/articles/d41586-020-03564-y	url:https://www.nature.com/articles/d41586-020-03564-y	oVsnSEwQ
url:https://www.science.org/news/2020/05/scientists-are-drowning-covid-19-papers-can-new-tools-keep-them-afloat	url:https://www.science.org/news/2020/05/scientists-are-drowning-covid-19-papers-can-new-tools-keep-them-afloat	url:https://www.science.org/news/2020/05/scientists-are-drowning-covid-19-papers-can-new-tools-keep-them-afloat	PtnIjQjQ
url:https://5stardata.info/en	url:https://5stardata.info/en	url:https://5stardata.info/en	UI1dtNSw
wikidata:Q102383737	wikidata:Q102383737	wikidata:Q102383737	1F9v68m9B
wikidata:Q102383784	wikidata:Q102383784	wikidata:Q102383784	POzqtz7B
wikidata:Q87830400	wikidata:Q87830400	wikidata:Q87830400	3GqlN9Dk
url:https://en.wikipedia.org/wiki/Literature-based_discovery	url:https://en.wikipedia.org/wiki/Literature-based_discovery	url:https://en.wikipedia.org/wiki/Literature-based_discovery	jXryyPLB
wikidata:Q38371706	wikidata:Q38371706	wikidata:Q38371706	Fuf8oc85
wikidata:Q36280460	wikidata:Q36280460	wikidata:Q36280460	LNtevqb9
wikidata:Q91595456	wikidata:Q91595456	wikidata:Q91595456	Lbqx9XBK
wikidata:Q47406275	wikidata:Q47406275	wikidata:Q47406275	CovO24JR
wikidata:Q105870680	wikidata:Q105870680	wikidata:Q105870680	DLTMbf54
wikidata:Q105105637	wikidata:Q105105637	wikidata:Q105105637	cZEmYsqx
wikidata:Q1868040	wikidata:Q1868040	wikidata:Q1868040	to2onCDy
wikidata:Q106090790	wikidata:Q106090790	wikidata:Q106090790	RghcuiSS
wikidata:Q104130127	wikidata:Q104130127	wikidata:Q104130127	18wkLcGxT
wikidata:Q23781406	wikidata:Q23781406	wikidata:Q23781406	2KmDs8gy
wikidata:Q19671692	wikidata:Q19671692	wikidata:Q19671692	j3tJyG7J
url:https://blog.google/products/search/introducing-knowledge-graph-things-not	url:https://blog.google/products/search/introducing-knowledge-graph-things-not	url:https://blog.google/products/search/introducing-knowledge-graph-things-not	16mCkZC1r
wikidata:Q101955295	wikidata:Q101955295	wikidata:Q101955295	qMozvNth
wikidata:Q24074986	wikidata:Q24074986	wikidata:Q24074986	xLpRePoh
url:https://www.mediawiki.org/wiki/Wikibase/DataModel	url:https://www.mediawiki.org/wiki/Wikibase/DataModel	url:https://www.mediawiki.org/wiki/Wikibase/DataModel	Ea6hVYrD
url:https://www.wikidata.org/wiki/Help:Data_type	url:https://www.wikidata.org/wiki/Help:Data_type	url:https://www.wikidata.org/wiki/Help:Data_type	17Yt10yrY
url:https://www.wikidata.org/wiki/Wikidata:Statistics	url:https://www.wikidata.org/wiki/Wikidata:Statistics	url:https://www.wikidata.org/wiki/Wikidata:Statistics	SGzjBOG0
url:https://www.wikidata.org/wiki/Help:Multilingual	url:https://www.wikidata.org/wiki/Help:Multilingual	url:https://www.wikidata.org/wiki/Help:Multilingual	S1Lksw7i
url:https://www.w3.org/TR/rdf11-mt	url:https://www.w3.org/TR/rdf11-mt	url:https://www.w3.org/TR/rdf11-mt	ZhP1mKyl
url:https://www.wikidata.org/wiki/Wikidata:Data_access	url:https://www.wikidata.org/wiki/Wikidata:Data_access	url:https://www.wikidata.org/wiki/Wikidata:Data_access	4wSLyAPr
url:https://www.rdocumentation.org/packages/WikidataR/versions/2.2.0	url:https://www.rdocumentation.org/packages/WikidataR/versions/2.2.0	url:https://www.rdocumentation.org/packages/WikidataR/versions/2.2.0	1HghnypzG
url:https://pypi.org/project/wikidata2df	url:https://pypi.org/project/wikidata2df	url:https://pypi.org/project/wikidata2df	VKWfrtR1
url:https://www.wikidata.org/wiki/Wikidata:Licensing	url:https://www.wikidata.org/wiki/Wikidata:Licensing	url:https://www.wikidata.org/wiki/Wikidata:Licensing	tQIJPG4k
url:https://query.wikidata.org	url:https://query.wikidata.org	url:https://query.wikidata.org	2wDsXBwd
url:Q56010228	url:Q56010228	url:Q56010228	t66jYhqe
url:https://scholia.toolforge.org	url:https://scholia.toolforge.org	url:https://scholia.toolforge.org	17P4zruFZ
url:https://egonw.github.io/SARS-CoV-2-Queries	url:https://egonw.github.io/SARS-CoV-2-Queries	url:https://egonw.github.io/SARS-CoV-2-Queries	guMp3q1V
url:https://www.wikidata.org/wiki/Wikidata:Tools/OpenRefine	url:https://www.wikidata.org/wiki/Wikidata:Tools/OpenRefine	url:https://www.wikidata.org/wiki/Wikidata:Tools/OpenRefine	17rRjL1Xj
url:https://www.wikidata.org/wiki/Help:QuickStatements	url:https://www.wikidata.org/wiki/Help:QuickStatements	url:https://www.wikidata.org/wiki/Help:QuickStatements	K6ggpwRg
url:https://www.wikidata.org/wiki/Wikidata:Bots	url:https://www.wikidata.org/wiki/Wikidata:Bots	url:https://www.wikidata.org/wiki/Wikidata:Bots	sSH04fxa
url:https://www.wikidata.org/wiki/Wikidata:Pywikibot_-_Python_3_Tutorial	url:https://www.wikidata.org/wiki/Wikidata:Pywikibot_-_Python_3_Tutorial	url:https://www.wikidata.org/wiki/Wikidata:Pywikibot_-_Python_3_Tutorial	5K5MfnVl
url:https://github.com/SuLab/WikidataIntegrator	url:https://github.com/SuLab/WikidataIntegrator	url:https://github.com/SuLab/WikidataIntegrator	qDI8I4IJ
wikidata:Q68471881	wikidata:Q68471881	wikidata:Q68471881	Ym2HoRLl
wikidata:Q28292893	wikidata:Q28292893	wikidata:Q28292893	179mXrGIk
wikidata:Q21183907	wikidata:Q21183907	wikidata:Q21183907	TItj7EYf
wikidata:Q28595967	wikidata:Q28595967	wikidata:Q28595967	P2QdZvGc
url:https://www.wired.com/story/inside-the-alexa-friendly-world-of-wikidata	url:https://www.wired.com/story/inside-the-alexa-friendly-world-of-wikidata	url:https://www.wired.com/story/inside-the-alexa-friendly-world-of-wikidata	bO7BekzO
wikidata:Q21092744	wikidata:Q21092744	wikidata:Q21092744	18UXATsxP
wikidata:Q28254676	wikidata:Q28254676	wikidata:Q28254676	13LWXQF0E
wikidata:Q23712646	wikidata:Q23712646	wikidata:Q23712646	2ZhxC0dg
wikidata:Q28529449	wikidata:Q28529449	wikidata:Q28529449	DaJdrXLk
wikidata:Q63286185	wikidata:Q63286185	wikidata:Q63286185	aQfGxPRH
wikidata:Q54655231	wikidata:Q54655231	wikidata:Q54655231	1GijvCQtv
wikidata:Q41799194	wikidata:Q41799194	wikidata:Q41799194	hxzL9pmm
wikidata:Q63433973	wikidata:Q63433973	wikidata:Q63433973	PdG2G4Bp
wikidata:Q108766311	wikidata:Q108766311	wikidata:Q108766311	zH3KDqhp
wikidata:99196713	wikidata:99196713	wikidata:99196713	1HasDagnQ
wikidata:Q105037759	wikidata:Q105037759	wikidata:Q105037759	mPoPwN77
wikidata:Q88647643	wikidata:Q88647643	wikidata:Q88647643	3YCzr3jU
wikidata:Q105833381	wikidata:Q105833381	wikidata:Q105833381	SkOeuFRd
wikidata:Q106249454	wikidata:Q106249454	wikidata:Q106249454	AOVCR8mW
wikidata:Q107377131	wikidata:Q107377131	wikidata:Q107377131	19wiU1LCA
wikidata:Q100513179	wikidata:Q100513179	wikidata:Q100513179	10EWNsZCz
wikidata:Q21503276	wikidata:Q21503276	wikidata:Q21503276	864Pcm4C
wikidata:Q108479295	wikidata:Q108479295	wikidata:Q108479295	11UV98PHT
wikidata:Q3684178	wikidata:Q3684178	wikidata:Q3684178	1HBVPtZGp
wikidata:Q48563763	wikidata:Q48563763	wikidata:Q48563763	pFijpXkl
doi:10.22541/au.160979530.02627436/v1	doi:10.22541/au.160979530.02627436/v1	doi:10.22541/au.160979530.02627436/v1	uCE45Jh8
wikidata:Q1189395	wikidata:Q1189395	wikidata:Q1189395	AHGRV6KQ
